client_id,cons_price_idx,euribor_three_months
0.0,93.994,4.857
1.0,93.994,4.857
2.0,93.994,4.857
3.0,93.994,4.857
4.0,93.994,4.857
5.0,93.994,4.857
6.0,93.994,4.857
7.0,93.994,4.857
8.0,93.994,4.857
9.0,93.994,4.857
10.0,93.994,4.857
11.0,93.994,4.857
12.0,93.994,4.857
13.0,93.994,4.857
14.0,93.994,4.857
15.0,93.994,4.857
16.0,93.994,4.857
17.0,93.994,4.857
18.0,93.994,4.857
19.0,93.994,4.857
20.0,93.994,4.857
21.0,93.994,4.857
22.0,93.994,4.857
23.0,93.994,4.857
24.0,93.994,4.857
25.0,93.994,4.857
26.0,93.994,4.857
27.0,93.994,4.857
28.0,93.994,4.857
29.0,93.994,4.857
30.0,93.994,4.857
31.0,93.994,4.857
32.0,93.994,4.857
33.0,93.994,4.857
34.0,93.994,4.857
35.0,93.994,4.857
36.0,93.994,4.857
37.0,93.994,4.857
38.0,93.994,4.857
39.0,93.994,4.857
40.0,93.994,4.857
41.0,93.994,4.857
42.0,93.994,4.857
43.0,93.994,4.857
44.0,93.994,4.857
45.0,93.994,4.857
46.0,93.994,4.857
47.0,93.994,4.857
48.0,93.994,4.857
49.0,93.994,4.857
50.0,93.994,4.857
51.0,93.994,4.857
52.0,93.994,4.857
53.0,93.994,4.857
54.0,93.994,4.857
55.0,93.994,4.857
56.0,93.994,4.857
57.0,93.994,4.857
58.0,93.994,4.857
59.0,93.994,4.857
60.0,93.994,4.857
61.0,93.994,4.857
62.0,93.994,4.857
63.0,93.994,4.857
64.0,93.994,4.857
65.0,93.994,4.857
66.0,93.994,4.857
67.0,93.994,4.857
68.0,93.994,4.857
69.0,93.994,4.857
70.0,93.994,4.857
71.0,93.994,4.857
72.0,93.994,4.857
73.0,93.994,4.857
74.0,93.994,4.857
75.0,93.994,4.857
76.0,93.994,4.857
77.0,93.994,4.857
78.0,93.994,4.857
79.0,93.994,4.857
80.0,93.994,4.857
81.0,93.994,4.857
82.0,93.994,4.857
83.0,93.994,4.857
84.0,93.994,4.857
85.0,93.994,4.857
86.0,93.994,4.857
87.0,93.994,4.857
88.0,93.994,4.857
89.0,93.994,4.857
90.0,93.994,4.857
91.0,93.994,4.857
92.0,93.994,4.857
93.0,93.994,4.857
94.0,93.994,4.857
95.0,93.994,4.857
96.0,93.994,4.857
97.0,93.994,4.857
98.0,93.994,4.857
99.0,93.994,4.857
100.0,93.994,4.857
101.0,93.994,4.857
102.0,93.994,4.857
103.0,93.994,4.857
104.0,93.994,4.857
